col_6,col_18,col_19
"Voltas Beko 7.5 kg Semi Automatic Top Load Washing Machine Grey, White","['1350 rpm Max Speed', '5 Star Rating', '1 Year Warranty on Product and 5 Years Warranty on Motor']","['₹9,790', '₹']"
"Sansui 7 kg Semi Automatic Top Load Washing Machine Red, White","['1300 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty On Product and 5 Years on Wash Motor']","['₹7,890', '₹']"
"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black","['1400 RPM Max Speed', '5 Star Rating', '2 Years Comprehensive and 5 Years on Wash Motor']","['₹7,690', '₹']"
"Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black, Grey","['1600 RPM Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor']","['₹7,690', '₹']"
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"['740 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor']","['₹15,390', '₹']"
Whirlpool 7 kg Semi Automatic Top Load Washing Machine Grey,"['1400 rpm Max Speed', '5 Star Rating', '4 Years Comprehensive Warranty and 5 Years Warranty on Motor']","['₹10,390', '₹']"
"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...","['700 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)']","['₹18,990', '₹']"
"Voltas Beko 8.5 kg Semi Automatic Top Load Washing Machine Maroon, White","['1350 rpm Max Speed', '5 Star Rating', '1 Year Warranty on Product and 5 Years Warranty on Motor']","['₹10,990', '₹']"
Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"['740 rpm Max Speed', '5 Star Rating', 'With In-Built Heater', '2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor']","['₹17,990', '₹']"
"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...","['1350 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG']","['₹11,490', '₹']"
Panasonic 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine with In-built Heater Grey,"['702 rpm Max Speed', '5 Star Rating', 'With In-Built Heater', '2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Panasonic']","['₹25,990', '₹']"
"Sansui 9 kg Semi Automatic Top Load Washing Machine White, Maroon","['1350 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty On Product and 5 Years on Wash Motor']","['₹10,390', '₹']"
MOTOROLA 10 kg 5 star rating Semi Automatic Top Load Washing Machine Black,"['1350 rpm Max Speed', '5 Star Rating', '2 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor.']","['₹10,990', '₹']"
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","['800 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier']","['₹12,790', '₹']"
"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...","['700 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG']","['₹17,490', '₹']"
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-buil...","['1000 rpm Max Speed', '5 Star Rating', 'With In-Built Heater', '4 Years Comprehensive Warranty, 10 Years Motor Warranty and 10 Years Spares Support']","['₹25,490', '₹']"
"Sansui 8.5 kg Semi Automatic Top Load Washing Machine Red, White","['1350 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty On Product and 5 Years on Wash Motor']","['₹10,150', '₹']"
"Voltas Beko by A Tata Product 14 kg Semi Automatic Top Load Washing Machine Blue, White","['1350 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive Warranty on Product, 5 Years Warranty on Spin Motor and 10 Years Warranty on Wash Motor']","['₹16,900', '₹']"
"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","['700 rpm Max Speed', '5 Star Rating', '2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor']","['₹17,990', '₹']"
"MarQ by Flipkart 6.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, White","['1350 rpm Max Speed', '5 Star Rating', '2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart']","['₹6,990', '₹']"
"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...","['1300 rpm Max Speed', '2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor']","['₹6,790', '₹']"
"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black","['1400 RPM Max Speed', '5 Star Rating', '2 Years Comprehensive and 5 Years on Wash Motor']","['₹9,890', '₹']"
Whirlpool 6.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"['740 rpm Max Speed', '5 Star Rating', 'With In-Built Heater', '2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor']","['₹15,990', '₹']"
"SAMSUNG 7.5 kg 5 star, Air Turbo Drying Semi Automatic Top Load Washing Machine Blue, Grey","['1300 rpm Max Speed', '5 Star Rating', '2 years on product, 5 years on motor']","['₹11,990', '₹']"
